Order,Property Id,DOF Gross Floor Area,Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Latitude,Longitude,Community Board,Census Tract,log_Site EUI (kBtu/ft²),log_Longitude,Largest Property Use Type - Gross Floor Area (ft²)_52000.0,Largest Property Use Type - Gross Floor Area (ft²)_54000.0,Largest Property Use Type - Gross Floor Area (ft²)_60000.0,Largest Property Use Type - Gross Floor Area (ft²)_63000.0,Largest Property Use Type - Gross Floor Area (ft²)_65000.0,Largest Property Use Type - Gross Floor Area (ft²)_66000.0,Largest Property Use Type - Gross Floor Area (ft²)_70000.0,Largest Property Use Type - Gross Floor Area (ft²)_75000.0,Largest Property Use Type - Gross Floor Area (ft²)_80000.0,Largest Property Use Type - Gross Floor Area (ft²)_Other,"NYC Borough, Block and Lot (BBL) self-reported_1019610001","NYC Borough, Block and Lot (BBL) self-reported_1019730001","NYC Borough, Block and Lot (BBL) self-reported_1020350001","NYC Borough, Block and Lot (BBL) self-reported_2028760055","NYC Borough, Block and Lot (BBL) self-reported_3-01920-0001","NYC Borough, Block and Lot (BBL) self-reported_4-06789-0015","NYC Borough, Block and Lot (BBL) self-reported_4-06790-0001","NYC Borough, Block and Lot (BBL) self-reported_4-06791-0001","NYC Borough, Block and Lot (BBL) self-reported_4-06792-0600","NYC Borough, Block and Lot (BBL) self-reported_Other",score
1,13286,289356.0,1963,2,100,305.6,40.750791,-73.973963,6.0,88.0,5.725543966437714,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
3,4778226,152765.0,1924,1,100,,40.840427,-73.940249,12.0,251.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
4,4778267,891040.0,1971,1,100,,40.840746,-73.942854,12.0,255.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
5,4778288,211400.0,1932,1,100,,40.841559,-73.942528,12.0,255.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
7,4778352,245000.0,1932,1,60,,40.765949,-73.953752,8.0,124.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
10,2610789,3750565.0,1974,4,100,143974.4,40.757859,-73.715543,13.0,155101.0,11.87739773063113,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
11,2611745,3750565.0,1974,1,100,1138.3,40.757859,-73.715543,13.0,155101.0,7.03816931770407,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
12,3616379,3750565.0,1974,1,100,,40.757859,-73.715543,13.0,155101.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
13,5870374,3750565.0,1974,1,100,,40.757859,-73.715543,13.0,155101.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
14,5870375,3750565.0,1974,1,100,,40.757859,-73.715543,13.0,155101.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
18,5245390,567517.0,1950,1,100,,40.583953,-74.08693,2.0,70.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
19,4045810,53917.0,1950,1,100,,40.586868,-74.086592,2.0,70.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
20,2777309,,1907,7,100,120.0,,,,,4.795790545596741,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
27,2809896,,1964,2,100,115.9,,,,,4.761318868478023,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
28,4954491,256528.0,1964,1,100,0.0,40.816968,-73.960754,9.0,211.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
29,4954504,339104.0,1964,1,100,0.0,40.817221,-73.960776,9.0,211.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
30,2825730,54725.0,1971,2,100,26.9,40.729201,-73.994155,2.0,57.0,3.32862668882732,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
31,5101913,61582.0,1971,0,100,,40.728924,-73.993834,2.0,57.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
32,2831114,750000.0,1962,6,100,,40.821523,-73.90549,3.0,133.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
38,3612678,,1897,56,100,175.9,,,,,5.17558460116574,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
40,2977441,,1906,1,100,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
