Order,Property Id,DOF Gross Floor Area,Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Latitude,Longitude,Community Board,Census Tract,log_Site EUI (kBtu/ft²),log_Longitude,Largest Property Use Type - Gross Floor Area (ft²)_52000.0,Largest Property Use Type - Gross Floor Area (ft²)_54000.0,Largest Property Use Type - Gross Floor Area (ft²)_60000.0,Largest Property Use Type - Gross Floor Area (ft²)_63000.0,Largest Property Use Type - Gross Floor Area (ft²)_65000.0,Largest Property Use Type - Gross Floor Area (ft²)_66000.0,Largest Property Use Type - Gross Floor Area (ft²)_70000.0,Largest Property Use Type - Gross Floor Area (ft²)_75000.0,Largest Property Use Type - Gross Floor Area (ft²)_80000.0,Largest Property Use Type - Gross Floor Area (ft²)_Other,"NYC Borough, Block and Lot (BBL) self-reported_1019610001","NYC Borough, Block and Lot (BBL) self-reported_1019730001","NYC Borough, Block and Lot (BBL) self-reported_1020350001","NYC Borough, Block and Lot (BBL) self-reported_2028760055","NYC Borough, Block and Lot (BBL) self-reported_3-01920-0001","NYC Borough, Block and Lot (BBL) self-reported_4-06789-0015","NYC Borough, Block and Lot (BBL) self-reported_4-06790-0001","NYC Borough, Block and Lot (BBL) self-reported_4-06791-0001","NYC Borough, Block and Lot (BBL) self-reported_4-06792-0600","NYC Borough, Block and Lot (BBL) self-reported_Other"
4212,4932827,111567.0,1913,1,100,62.5,40.769624,-73.96823,8.0,122.0,4.151039905898646,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6167,4406956,54030.0,1930,1,100,76.4,40.847999,-73.940296,12.0,265.0,4.3489867805956814,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
10770,4370684,149450.0,1934,1,100,53.2,40.645638,-73.981046,12.0,498.0,3.9926809084456005,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6960,4401878,148827.0,1982,1,100,69.9,40.821001,-73.89558,2.0,159.0,4.2612704335380815,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4928,2682511,377823.0,1976,1,100,74.2,40.773428,-73.953129,8.0,138.0,4.320151230955794,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8272,3114850,72500.0,1924,1,100,77.4,40.835794,-73.852112,9.0,222.0,4.361823927356363,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
11731,3114772,68076.0,1940,1,100,65.9,40.629099,-73.957021,14.0,772.0,4.203198967134183,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3735,2817479,62237.0,1924,1,100,92.3,40.756962,-73.976256,5.0,94.0,4.535820107853298,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
13808,4404055,53914.0,1929,1,100,129.0,,,,,4.867534450455582,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12447,3782892,100000.0,1959,1,100,55.4,,,,,4.032469158504013,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4019,2614202,865222.0,2000,1,100,64.7,40.751983,-73.967538,6.0,90.0,4.185098925490565,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
14383,2953157,118566.0,1963,1,100,148.1,,,,,5.004617221770693,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
581,1052478,1141276.0,1967,1,90,133.0,40.709043,-74.010626,1.0,7.0,4.897839799950911,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1786,3538058,121206.0,2005,1,100,55.9,40.741135,-73.9941,4.0,87.0,4.041295341132285,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
11726,2794263,82440.0,1963,1,100,94.4,40.63313,-73.946696,14.0,786.0,4.558078578454241,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
7062,4842743,96000.0,1927,1,100,114.2,40.841498,-73.911136,4.0,225.0,4.746669748261791,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3754,3085377,366879.0,1969,1,100,111.5,40.75964,-73.975916,5.0,102.0,4.722953221644475,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
11934,2806029,86734.0,2000,1,100,95.7,40.576885,-73.95763,13.0,61002.0,4.571613402459248,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4234,2694374,95707.0,1928,1,100,73.5,40.771531,-73.964861,8.0,130.0,4.310799125385514,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2933,2800416,207080.0,1962,1,100,74.7,40.768395,-73.986827,4.0,139.0,4.3267781604434035,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
10840,2960395,55932.0,1940,1,100,93.4,40.63778,-73.973056,12.0,490.0,4.547541073151455,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
12232,3407435,72904.0,2011,1,100,84.3,,,,,4.446174454497633,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
955,4561633,71334.0,1970,1,100,58.6,40.724416,-73.983365,3.0,32.0,4.087655574071304,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
14782,2656560,72600.0,1940,1,100,88.5,40.627139,-74.09119,1.0,33.0,4.4942386252808095,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
10628,3114779,51000.0,1928,1,100,95.1,40.64535,-73.970318,14.0,1522.0,4.565389315976247,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1065,4862786,54431.0,1911,1,100,54.7,40.722635,-73.996977,2.0,43.0,4.019980146933238,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
14792,5851568,161500.0,1968,1,100,33.5,40.612357,-74.092035,1.0,47.0,3.5409593240373143,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6156,3530612,52206.0,1914,1,100,94.7,40.849667,-73.938787,12.0,265.0,4.5612182984589085,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
13260,4408042,149558.0,1952,1,100,90.9,,,,,4.520701029361642,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2703,2811093,172075.0,1916,1,100,51.4,40.760103,-73.983973,5.0,125.0,3.9589065913269965,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
